timestamp,symbol,action,price,quantity,sl,tp,trailing_stop,strategy,regime,cash_before,cash_after,position_before,position_after,notes
2025-08-29T21:43:15.204155+00:00,AAPL,enter_long,294.9,84,293.8735714285714,296.4396428571428,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:18.731245+00:00,AAPL,enter_short,295.98,84,297.6514285714286,293.7514285714286,,SMAStrategy,normal,,,,,
2025-08-29T21:43:18.741315+00:00,MSFT,enter_long,331.4,75,328.25857142857143,336.1121428571428,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:18.834302+00:00,AAPL,enter_short,295.94,84,296.91285714285715,294.48071428571427,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:18.843588+00:00,MSFT,enter_long,331.11,75,327.99285714285713,335.7857142857143,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:18.936621+00:00,AAPL,enter_short,296.3,84,297.8642857142857,294.2142857142857,,SMAStrategy,normal,,,,,
2025-08-29T21:43:18.945131+00:00,MSFT,enter_long,331.31,75,328.26428571428573,335.87857142857143,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:19.038217+00:00,AAPL,enter_short,295.94,84,297.55892857142857,293.7814285714286,,SMAStrategy,normal,,,,,
2025-08-29T21:43:19.046549+00:00,MSFT,enter_long,331.08,75,328.0071428571428,335.6892857142857,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:24.327956+00:00,MSFT,enter_short,332.68,75,335.9342857142857,327.79857142857145,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:24.412745+00:00,MSFT,enter_short,332.83,75,336.09999999999997,327.925,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:24.504351+00:00,MSFT,enter_short,332.87,75,335.86857142857144,328.3721428571429,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:24.605315+00:00,MSFT,enter_long,332.92,75,330.76214285714286,335.7971428571429,,SMAStrategy,normal,,,,,
