2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger initialized.
2025-08-11 19:24:12 - TradeLogger - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger name: TradeLogger
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger initialized.
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger name: Drawdown Monitor
2025-08-11 19:24:12 - Drawdown Monitor - INFO - [DAILY RESET] Portfolio start set to 100,000.00
2025-08-11 19:24:20 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:20.139460+00:00 | enter_short 1 MSFT @ 336.88 | SL:338.57392857142855 TP:334.62142857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.012012+00:00 | enter_short 1 MSFT @ 336.31 | SL:338.4560714285714 TP:333.4485714285714 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.213617+00:00 | enter_short 1 MSFT @ 336.38 | SL:338.5335714285714 TP:333.50857142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.271554+00:00 | enter_short 1 MSFT @ 336.39 | SL:338.1792857142857 TP:334.0042857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.406203+00:00 | enter_short 1 MSFT @ 335.83 | SL:337.71464285714285 TP:333.31714285714287 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.474566+00:00 | enter_short 1 MSFT @ 335.57 | SL:336.65714285714284 TP:333.9392857142857 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.605199+00:00 | enter_short 1 MSFT @ 335.91 | SL:336.9585714285715 TP:334.3371428571429 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.676108+00:00 | enter_short 1 MSFT @ 335.74 | SL:336.74928571428575 TP:334.22607142857146 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.794106+00:00 | enter_short 1 MSFT @ 335.72 | SL:336.76214285714286 TP:334.1567857142857 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.881641+00:00 | enter_short 1 MSFT @ 335.72 | SL:336.5628571428572 TP:334.4557142857143 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.980021+00:00 | enter_short 1 MSFT @ 336.13 | SL:336.99071428571426 TP:334.83892857142854 TS:None | strat=MomentumStrategy regime=low_volatility
