mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.679819393157959,0.5539376193344288,0.019196605682373045,0.011798187091870168,l2,0.23357214690901212,"{'model__penalty': 'l2', 'model__C': np.float64(0.23357214690901212)}",0.5504964318957493,0.5180576923076923,0.5183076923076924,0.517719298245614,0.5061552937486523,0.5221472817010799,0.0149029676308359,1
0.11837658882141114,0.051989163140935345,0.01383523941040039,0.005109182048674518,l1,0.12742749857031335,"{'model__penalty': 'l1', 'model__C': np.float64(0.12742749857031335)}",0.5128180266832144,0.5208173076923077,0.5332788461538461,0.514775828460039,0.5052241585478211,0.5173828335074457,0.009380257399608615,9
0.6106060981750489,0.575289167284195,0.01623997688293457,0.00759699449623698,l2,0.06951927961775606,"{'model__penalty': 'l2', 'model__C': np.float64(0.06951927961775606)}",0.5415082997207571,0.5181442307692308,0.5224134615384616,0.5162085769980507,0.5086252523866466,0.5213799642826292,0.011010121683741367,3
10.72654185295105,5.467453182143173,0.009772586822509765,0.001141251692442363,l1,2.636650898730358,"{'model__penalty': 'l1', 'model__C': np.float64(2.636650898730358)}",0.5139621470679491,0.516576923076923,0.5141923076923077,0.5154093567251462,0.509713210358144,0.513970788984094,0.002325404611346234,11
0.10108399391174316,0.06773393218474831,0.06514472961425781,0.09082913121487082,l1,0.003359818286283781,"{'model__penalty': 'l1', 'model__C': np.float64(0.003359818286283781)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,17
0.3187435150146484,0.32282234874418747,0.01714296340942383,0.013255961300530267,l1,0.0379269019073225,"{'model__penalty': 'l1', 'model__C': np.float64(0.0379269019073225)}",0.5,0.49922115384615384,0.5164807692307692,0.5069298245614036,0.5474780938192225,0.5140219682915099,0.017840046205587153,10
8.768332624435425,4.579442537058993,0.011545133590698243,0.0029399262850183486,l2,54.555947811685144,"{'model__penalty': 'l2', 'model__C': np.float64(54.555947811685144)}",0.5012701675457648,0.5171923076923077,0.514576923076923,0.5182553606237816,0.5105365299041421,0.5123662577685838,0.006153542942106168,14
5.435084390640259,3.838644234011739,0.021362495422363282,0.02160957078148161,l2,2.636650898730358,"{'model__penalty': 'l2', 'model__C': np.float64(2.636650898730358)}",0.5255390940117903,0.517451923076923,0.513451923076923,0.5223294346978558,0.5103110971713093,0.5178166944069603,0.005577070150899933,8
8.593231964111329,4.349549013373637,0.01063523292541504,0.00117954261066773,l2,100.0,"{'model__penalty': 'l2', 'model__C': np.float64(100.0)}",0.5004460130313373,0.5172115384615386,0.5149038461538461,0.5184307992202729,0.510732558367475,0.512344951046894,0.006503133110630356,15
0.07385497093200684,0.05020657913594647,0.041309165954589847,0.051391615838810335,l1,0.006158482110660267,"{'model__penalty': 'l1', 'model__C': np.float64(0.006158482110660267)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,17
3.1902370929718016,2.1148447904493133,0.026226377487182616,0.03222598222810743,l2,1.438449888287663,"{'model__penalty': 'l2', 'model__C': np.float64(1.438449888287663)}",0.5449988364877444,0.5175673076923076,0.5138557692307693,0.5214327485380117,0.5079587556113148,0.5211626835120295,0.012719249658733327,4
0.26104373931884767,0.22365045187304425,0.020762157440185548,0.012485492318143694,l2,0.011288378916846888,"{'model__penalty': 'l2', 'model__C': np.float64(0.011288378916846888)}",0.5229211914365498,0.5184423076923077,0.5281826923076923,0.5163157894736843,0.5152314116009645,0.5202186785022397,0.0047747242689333376,7
0.3663491725921631,0.31542008587590237,0.02045917510986328,0.010033573267825523,l2,0.0379269019073225,"{'model__penalty': 'l2', 'model__C': np.float64(0.0379269019073225)}",0.5348084083152342,0.5180961538461539,0.5242019230769231,0.5155068226120858,0.5121537647266383,0.5209534145154071,0.00797216155588754,5
8.069216251373291,4.888583041067293,0.0261993408203125,0.032393682667286726,l2,8.858667904100823,"{'model__penalty': 'l2', 'model__C': np.float64(8.858667904100823)}",0.5081542817251008,0.5173653846153846,0.5131634615384615,0.5205653021442496,0.5102620900554761,0.5139021040157346,0.00454368302672124,12
11.121917104721069,5.812308152126459,0.013485431671142578,0.005761698526452651,l1,29.763514416313193,"{'model__penalty': 'l1', 'model__C': np.float64(29.763514416313193)}",0.5005041886441204,0.5168269230769231,0.5140096153846153,0.5182163742690059,0.5113500480269735,0.5121814298803276,0.006299088532903909,16
0.08285565376281738,0.09245078908980117,0.04544520378112793,0.0631495959026173,l1,0.011288378916846888,"{'model__penalty': 'l1', 'model__C': np.float64(0.011288378916846888)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,17
0.6411876678466797,0.36890317622378394,0.009991073608398437,0.0008100182239445096,l2,0.12742749857031335,"{'model__penalty': 'l2', 'model__C': np.float64(0.12742749857031335)}",0.547674914675768,0.5181153846153846,0.5203076923076922,0.5172124756335282,0.5069492090251505,0.5220519352515047,0.013613145101674553,2
6.812926816940307,6.284008472972558,0.011140823364257812,0.0018665854600959004,l1,1.438449888287663,"{'model__penalty': 'l1', 'model__C': np.float64(1.438449888287663)}",0.5450085324232081,0.5180576923076923,0.5197019230769231,0.5133918128654971,0.5058024425146531,0.5203924806375947,0.013219354549192078,6
0.1573148250579834,0.20129829453902376,0.02264742851257324,0.017349362762440708,l1,0.001,"{'model__penalty': 'l1', 'model__C': np.float64(0.001)}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,17
