mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__num_leaves,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.970758628845215,1.0409827036766148,0.15705537796020508,0.1519076815052958,0.9,0.19306977288832497,46,50,6,0.1,0.7,"{'model__subsample': np.float64(0.9), 'model__reg_lambda': np.float64(0.19306977288832497), 'model__num_leaves': np.int64(46), 'model__min_child_samples': np.int64(50), 'model__max_depth': 6, 'model__learning_rate': np.float64(0.1), 'model__colsample_bytree': np.float64(0.7)}",0.50795066708036,0.5058269230769231,0.5144903846153845,0.5107797270955166,0.5127712543861369,0.5103637912508642,0.003143373832704546,11
16.51027865409851,6.641017924562084,0.2254330635070801,0.2633969355576106,0.8,0.013894954943731374,62,10,10,0.1,1.0,"{'model__subsample': np.float64(0.8), 'model__reg_lambda': np.float64(0.013894954943731374), 'model__num_leaves': np.int64(62), 'model__min_child_samples': np.int64(10), 'model__max_depth': 10, 'model__learning_rate': np.float64(0.1), 'model__colsample_bytree': np.float64(1.0)}",0.5054103319888303,0.49996153846153846,0.5359134615384615,0.5285087719298246,0.4812400760590438,0.5102068359955397,0.01981331476160335,12
12.608124399185181,3.8656373593061453,0.18018817901611328,0.20770275807379537,1.0,0.003727593720314938,54,20,10,0.01291549665014884,0.8,"{'model__subsample': np.float64(1.0), 'model__reg_lambda': np.float64(0.003727593720314938), 'model__num_leaves': np.int64(54), 'model__min_child_samples': np.int64(20), 'model__max_depth': 10, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': np.float64(0.8)}",0.5134191746819733,0.49150961538461535,0.5381634615384615,0.5222514619883041,0.4647246780232489,0.5060136783233207,0.025562726548467488,18
11.506429100036621,5.285763808021018,0.12856364250183105,0.08159074953715942,0.7,0.003727593720314938,50,45,-1,0.05994842503189409,0.7,"{'model__subsample': np.float64(0.7), 'model__reg_lambda': np.float64(0.003727593720314938), 'model__num_leaves': np.int64(50), 'model__min_child_samples': np.int64(45), 'model__max_depth': -1, 'model__learning_rate': np.float64(0.05994842503189409), 'model__colsample_bytree': np.float64(0.7)}",0.5150868755817561,0.5174615384615384,0.5437403846153847,0.5100194931773879,0.48982612275302373,0.5152268829178182,0.017264695719117113,3
10.84515027999878,5.073252366440972,0.07127695083618164,0.01336596508965179,1.0,2.6826957952797246,49,40,-1,0.004641588833612777,0.7,"{'model__subsample': np.float64(1.0), 'model__reg_lambda': np.float64(2.6826957952797246), 'model__num_leaves': np.int64(49), 'model__min_child_samples': np.int64(40), 'model__max_depth': -1, 'model__learning_rate': np.float64(0.004641588833612777), 'model__colsample_bytree': np.float64(0.7)}",0.5167254886751473,0.5103365384615384,0.5338653846153847,0.5174074074074073,0.4885078313371102,0.5133685300993176,0.014662537720867036,7
13.152640867233277,3.7791440061656663,0.33584160804748536,0.32218266113247473,0.8,0.003727593720314938,50,10,10,0.021544346900318832,1.0,"{'model__subsample': np.float64(0.8), 'model__reg_lambda': np.float64(0.003727593720314938), 'model__num_leaves': np.int64(50), 'model__min_child_samples': np.int64(10), 'model__max_depth': 10, 'model__learning_rate': np.float64(0.021544346900318832), 'model__colsample_bytree': np.float64(1.0)}",0.5062829661805772,0.49387499999999995,0.5406346153846153,0.5336842105263158,0.4762119459745555,0.5101377476132127,0.02414452806014032,13
3.1323643207550047,0.8247217096895428,0.16244702339172362,0.21715441864649263,0.7,2.6826957952797246,53,40,4,0.007742636826811269,0.7,"{'model__subsample': np.float64(0.7), 'model__reg_lambda': np.float64(2.6826957952797246), 'model__num_leaves': np.int64(53), 'model__min_child_samples': np.int64(40), 'model__max_depth': 4, 'model__learning_rate': np.float64(0.007742636826811269), 'model__colsample_bytree': np.float64(0.7)}",0.5179277846726652,0.5221250000000001,0.5464519230769231,0.5155653021442494,0.5004312626193324,0.520500254502634,0.014898756261773062,1
7.700806283950806,2.790638803332593,0.0663832187652588,0.005612335161599355,0.8,0.001,48,40,8,0.007742636826811269,0.8,"{'model__subsample': np.float64(0.8), 'model__reg_lambda': np.float64(0.001), 'model__num_leaves': np.int64(48), 'model__min_child_samples': np.int64(40), 'model__max_depth': 8, 'model__learning_rate': np.float64(0.007742636826811269), 'model__colsample_bytree': np.float64(0.8)}",0.524695547626435,0.5148653846153846,0.5437211538461538,0.5095614035087719,0.48241624683904094,0.5150519472871572,0.020050896501544138,4
6.943034267425537,1.460317136314619,0.12292752265930176,0.13962030044591878,0.7,0.013894954943731374,28,20,6,0.001,0.8,"{'model__subsample': np.float64(0.7), 'model__reg_lambda': np.float64(0.013894954943731374), 'model__num_leaves': np.int64(28), 'model__min_child_samples': np.int64(20), 'model__max_depth': 6, 'model__learning_rate': np.float64(0.001), 'model__colsample_bytree': np.float64(0.8)}",0.5055848588271796,0.4895,0.5306105769230769,0.4994541910331384,0.49017897398702287,0.5030657201540836,0.015021353645682162,20
6.229043102264404,1.5790349160783448,0.11968417167663574,0.10142445228883916,1.0,0.003727593720314938,19,35,8,0.05994842503189409,0.9,"{'model__subsample': np.float64(1.0), 'model__reg_lambda': np.float64(0.003727593720314938), 'model__num_leaves': np.int64(19), 'model__min_child_samples': np.int64(35), 'model__max_depth': 8, 'model__learning_rate': np.float64(0.05994842503189409), 'model__colsample_bytree': np.float64(0.9)}",0.5173557244802978,0.5032403846153846,0.5353365384615385,0.522261208576998,0.4942269617548468,0.5144841635778131,0.014424469628237886,5
