mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.291447544097901,2.6585349029479137,0.15418286323547364,0.07594452330739349,200,10,log2,16,"{'model__n_estimators': np.int64(200), 'model__min_samples_split': 10, 'model__max_features': 'log2', 'model__max_depth': np.int64(16)}",0.5108400558485883,0.5228557692307692,0.5331346153846154,0.49765107212475634,0.4862584047203654,0.5101479834618189,0.016835894962268554,1
6.638565587997436,2.6113378139502705,0.13180170059204102,0.05292575339654976,200,10,sqrt,20,"{'model__n_estimators': np.int64(200), 'model__min_samples_split': 10, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(20)}",0.5100255972696246,0.5175192307692308,0.5325192307692308,0.5293664717348928,0.45822633446376415,0.5095313730013487,0.02690029685790149,2
11.986681795120239,5.28016226546525,0.37844390869140626,0.30894267774304585,300,5,sqrt,20,"{'model__n_estimators': np.int64(300), 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(20)}",0.5020846261247286,0.516625,0.510951923076923,0.5113157894736842,0.45574657440260324,0.4993447826155878,0.022293259652081534,20
17.24677429199219,4.425568526094821,0.47186641693115233,0.31945084602864876,700,10,sqrt,8,"{'model__n_estimators': np.int64(700), 'model__min_samples_split': 10, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(8)}",0.4988849674216569,0.5196346153846154,0.5252596153846154,0.5108479532163742,0.4494344578832846,0.5008123218581093,0.027188462232599298,18
177.21384391784667,98.97515358272763,0.8045787334442138,0.12779374261908838,800,5,,,"{'model__n_estimators': np.int64(800), 'model__min_samples_split': 5, 'model__max_features': None, 'model__max_depth': None}",0.5077761402420106,0.5072307692307692,0.5279134615384615,0.5298343079922028,0.4491306137651187,0.5043770585537126,0.02923662394041155,11
7.9208841800689695,1.8744016379998718,0.5859865665435791,0.20754892521954407,400,5,log2,4,"{'model__n_estimators': np.int64(400), 'model__min_samples_split': 5, 'model__max_features': 'log2', 'model__max_depth': np.int64(4)}",0.5046249612162581,0.5162115384615384,0.5245288461538462,0.4944834307992203,0.4869935114578637,0.5053684576177453,0.013721283709310597,7
25.410910224914552,10.757296943879277,0.6542634963989258,0.15440550533536904,600,2,log2,20,"{'model__n_estimators': np.int64(600), 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': np.int64(20)}",0.50503219050574,0.5163509615384615,0.5220673076923077,0.5168615984405458,0.4591770725109286,0.5038978261375967,0.023041278701751024,13
14.099528741836547,3.17243389501267,0.8616314888000488,0.1492772298909294,700,10,sqrt,4,"{'model__n_estimators': np.int64(700), 'model__min_samples_split': 10, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(4)}",0.5052261092150171,0.5088653846153846,0.5336442307692308,0.4915692007797271,0.48258287103287395,0.5043775592824467,0.017415287287625328,10
66.85132689476013,36.324427153909134,0.22976279258728027,0.1820641016337278,300,5,,20,"{'model__n_estimators': np.int64(300), 'model__min_samples_split': 5, 'model__max_features': None, 'model__max_depth': np.int64(20)}",0.5100449891405523,0.5010096153846153,0.5235384615384615,0.525877192982456,0.4562268441377688,0.5033394206367708,0.025242582837341748,14
9.604502964019776,2.193180014789228,0.6027076244354248,0.24517943363779102,300,2,log2,8,"{'model__n_estimators': np.int64(300), 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': np.int64(8)}",0.5122362705553832,0.5018557692307692,0.5463557692307692,0.5033528265107212,0.4579224903455982,0.5043446251746482,0.02824679437495546,12
